Broadway/Hogan	Broadway/Hogan residence hall community
Columbia University Be the Match	CU Be the Match on Campus raises money and holds bone marrow typing drives for Be the Match a national organization which strives to improve the lives of those affected by leukemia and other diseases that can be treated with a bone marrow transplant.
Columbia University Bhangra (CU Bhangra)	"Founded in 2002, Columbia University Bhangra is a competitive collegiate dance team, committed to fostering an appreciation of Punjab culture in both its dancers and audiences alike. Bhangra is a folk dance originating from the Punjab region of India and Pakistan that celebrates the harvest and everyday life of the Punjab. Inspired by the diversity, modernity, and energy of NYC, Columbia Bhangra combines traditional and contemporary styles of Bhangra. Contact:  bhangra@columbia.edu"
Columbia University Buddhist Association	The Columbia University Buddhist Association (CUBA) seeks to help and facilitate Buddhist practice on campus.  We invite teachers from all Buddhist traditions and have weekly meditation meetings open to ALL students regardless of religion or creed.
Columbia University buildOn	Columbia University buildOn is dedicated to breaking the cycle of poverty illiteracy and low expectations through service and education. CU buildOn has successfully constructed 5 schools one each in Nicaragua Malawi Senegal Haiti and Nepal.
Columbia University Central and Eastern European Club (CUCEE Club)	CUCEE Club unites students professors scholars and professionals with attachment to the region of Central and Eastern Europe.
Columbia University Cheerleading Team	No information on website. 
Columbia University Coalition for Sustainable Development (CUCSD)	CUCSD is Columbia's only inter-school association for sustainable development which it promotes by bringing together students and faculty with an interest in sustainable development and enabling students to attend high level meetings on sustainability.
Columbia University College Democrats (CU Dems)	The pulse of liberal activism and official Democratic group on Columbia's campus.
Columbia University College Republicans (CUCR)	The Columbia University College Republicans publishes and promotes the ideas and positions of the Republican Party fosters community among Republican students on campus and provides support for the political activities of Republican students on campus.
Columbia University Contract Bridge Club (Bridge Club)	An inter-school student organization that offers Columbia community the chance to learn play and enjoy the card game of bridge.
Columbia University CPR (CU - CPR)	This organization has not yet updated their description.
Columbia University Cycling (Cycling)	Columbia University's Cycling Team--competes in the Eastern Collegiate Cycling Conference (ECCC)
Columbia University Dance Team	The Columbia University Dance Team performs at Men and Womenäó»s Basketball games. We perform pom jazz and hip-hop routines to support Columbia athletic teams and provide entertainment at school events.
Columbia University Educational Studies Program	This group exists to facilitate Splash! programs educational events that give high school students a non-traditional learning experience by presenting them with a wide variety of subjects not found in traditional curricula.
Columbia University Environmental Biology Society (CUEBS)	Columbia University Environmental Biology Society has been active for 9 semesters and seeks to promote a communal love/respect concerning nature and the environment. Their core mission is different from an organization such as EcoReps
Columbia University Equestrian Club (CUEC)	An equestrian team for riders of all levels and backgrounds! We have both a recreational team and a show team and offer lessons as well as competition opportunities in hunt seat equitation. Transportation is provided to and from the barn for all lessons.
Columbia University Family Support Network (CUFSN)	CUFSN is a student-run organization focused on creating a support network for members of the Columbia community with families. Our goal is to connect families offer peer support and have some fun!
Columbia University Financial Engineering (CUFE)	CUFE promotes a collaborative learning environment for anyone interested in finance regardless of experience level and field of study.
Columbia University Food Sustainability Project (CUFSP)	Columbia University Food Sustainability Project is a club dedicated to fostering a welcoming community of food-conscious students and spreading awareness about food sustainability issues. CUFSP manages a student-run university garden on Pupin Plaza.
Columbia University Glee Club (CU Glee)	The CU Glee Club is a choral group for all kinds of singers and all types of music. We've been spreading song and keeping Columbia traditions alive since 1873. If you love to sing join the club!
The Glee Club is open to all CU students and affiliates.	
Columbia University Global Brigades (CUGB)	CUGB is a student-led sustainable development organization part of a national organization. We aim to improve the quality of life while respecting local culture and in under-resourced communities in Honduras Panama and Ghana.
Columbia University Gospel Choir & Band (CUGC)	Columbia University Gospel Choir is made up of members from all facets of the Columbia University community. We are dedicated to lifting up the name of Jesus Christ through a variety of contemporary gospel music.
Columbia University Hiking Club (CUHC)	The Hiking Club is a voluntary club sport affiliated with Columbia University. We organize day hikes and camping trips throughout the year mostly in the New York Tri-State area.
Columbia University Institute for Operations Research and the Management Sciences (CUINFORMS)	This organization has not yet updated their description.
Columbia University International Relations Forum (CUIRF)	Columbia University International Relations Forum (CUIRF) provides students with the opportunity to engage in issues related to international politics. Students participate in speaker events career panels and other activities related to the field.
Columbia University Kendo Club (CU Kendo)	The Columbia University Kendo Club  is dedicated to the practice study and promotion of the Japanese martial art of Japanese fencing known as Kendo.
Columbia University Lion Dance (CULD)	CULD - Our goal is to promote knowledge of Chinese traditional dance for both the on-campus and off-campus community. We combine traditional elements of lion dance with a modern flair to create a unique fusion of this ancient dance form.
Columbia University Marching Band (CUMB)	The Cleverest Band in the Worldä‹¢! G(tb)Œ_!  Now into its fifth decade of wreaking havoc across the Ivy League the Band is one of Columbia's premier spirit music and humor groups.
Columbia University Medical Informatics Society (CUMIS)	The Columbia University Medical Informatics Society seeks to uphold its mission of extending educational and professional
opportunities to those interested in the field of medical informatics.	
Columbia University Men's Ultimate Club (Uptown Local)	Columbia University's men's ultimate club sports team.
Columbia University Partnership for International Development (CUPID)	CUPID is a student-led effort across Columbia University to facilitate multidisciplinary dialogue awareness and action on international development.
Columbia University Performing Arts League (CUPAL)	CUPAL is the umbrella organization for music theater and dance groups on campus. We bring the performing arts community together to work on shared goals. We represent 18 different groups and support an additional special project each semester.
Columbia University Photography Society (CUPS)	CUPS is a group for passionate and enthusiastic photographers. As an organization we teach photography workshops showcase student work through exhibitions and competitions travel on outings all over NYC and bring visual artists to campus.
Columbia University Players (CUP)	CUP seeks to provide student artists with an outlet for their theatrical creativity. Overseeing four productions each academic year CUP focuses solely on the performance of straight plays.
Columbia University Poker Club (cups)	This organization has not yet updated their description.
Columbia University Public Service Initiative (CU-PSI)	The goal of the Columbia University Public Service Initiative is to cater to high school students who desire the guidance of a Columbia College student for completing college applications financial aid forms and scholarship essays.
Columbia University Road Runners (Road Runners)	Columbia Road Runners is the running club of Columbia University.
Columbia University Science Fiction Society (CUSFS)	"The Columbia University Science Fiction Society also known as CUSFS meets Wednesdays at 8:00 pm.  Despite the name we don't discriminate, both fantasy and science fiction are welcome.  Check us out at http://www.columbia.edu/cu/cusfs/"
Columbia University Sign Language Club (Cu Sign)	American sign language classes games and culture every Thursday night from 7:00-8:30pm in Lerner.  All levels welcome!
Columbia University Step Team (CU Step)	This organization has not yet updated their description.
Columbia University Students for Human Rights (CUSHR)	CUSHR is dedicated to supporting empowering and connecting all human rights conscious individuals at Columbia University in their efforts to recognize and combat human right violations around the world.
Columbia University Swing Dance Club (Swing Dance)	CU Swing promotes enjoyment of the social and solo African American jazz dances of the 1920's-40's. We offer weekly Lindy Hop lessons with professional teachers big semesterly dances with live music weekly jam sessions workshops äóî and tons of fun!
Columbia University Table Tennis Club (CUTTC)	Columbia University Table Tennis Club and Team
Columbia University Taiwanese Graduate Student Association (TGSA)	Organizations Description Summary: Taiwanese Graduate Student Association (TGSA) is a university-wide interdisciplinary student organization for Taiwanese graduate students and scholars at Columbia University.
Columbia University Taiwanese Student Association Constitution (CUTSA)	This organization has not yet updated their description.
Columbia University Tennis Club (CUTC) (Club Tennis)	We provide the Columbia Tennis playing community with the most fun and affordable court time available in the city.  Players of all skill levels are welcome!
Columbia University Wind Ensemble (Wind Ensemble)	The Wind Ensemble consists of woodwind brass and percussion players dedicated to performing the finest wind literature from the Renaissance to the present. We rehearse twice weekly and hold 2-3 concerts per term. We also play on tour at Yale Brown etc
Columbia University Wushu Club	The Columbia University Wushu Club was founded with the purpose of promoting the martial and performing art of wushu at Columbia University.
Columbia White Water Kayak Club (WKC)	Welcome to White Water Kayaking Club! Join us on Tuesdays at 9:30pm in Uris Pool (the basement of Dodge Fitness Center).
All people are encouraged to join even if you've never paddled before!	
Columbia Womens Business Society (CWBS)	Columbia Women's Business Society (CWBS) is an undergraduate women's organization that aims to create a business leadership network between Columbia students and female professionals in New York City and beyond.
Columbia Women's Rugby (CUWRFC)	CUWRFC is a Columbia University club sports team that participates in Division I of the Ivy League. Our team welcomes undergraduate women from Columbia and Barnard of all levels of athletic experience.
Columbia Youth Adventurers	CYA is a mentorship program providing low-income children an opportunity to engage in learning activities outside of the classroom.  Through weekly field trips volunteers form long-term lasting relationships with participants.
Columbia/Barnard Tango Club (CUTango)	We are a club dedicated to teaching people how to dance social Argentine tango.
Columbia-Barnard Hillel (Hillel)	Columbia/Barnard Hillel is committed to a pluralistic vision of Judaism. We promote Jewish life at Columbia and Barnard and beyond through broad programming and a commitment to building a diverse Jewish community.
Columbia-Barnard Jewish Voice for Peace	"The Jewish Voice for Peace (JVP) is a diverse and democratic community of activists inspired by Jewish tradition to work together for peace, social justice, and human rights. We are a club situated in the BDS movement and our primary focus is advancing Palestinian liberation. We attempt to carry out our organizing in a Jewish framework that gives Jewish students an alternative community and political space to engage in.  Contact: lilijbrown@gmail.com Tags: JVP"
Community Impact (CI)	Community Impact is a local non-profit and campus community service umbrella organization that marshals volunteer talent from the Columbia University community to tackle our area's most pressing education health and safety topics.
Community Impact Leadership Program (CILP)	The Community Impact Leadership Program or CILP is a leadership development program for first-year students based on community service.
Community Lunch Soup Kitchen (Community Lunch)	Community Lunch responds to the need in the community for a free meal and a comfortable safe environment.
Compass Christian Koinonia (CCK)	We are a campus-based fellowship group that meets every Friday @ 7:30 PM in Lerner Hall.  Join us for dinner Bible study and games.  All are welcome! Please email us for more information or check us out at www.facebook.com/cck.cu.
Consilience: The Journal of Sustainable Development (Consilience)	Consilience publishes a biannual journal and operates a biweekly Features Column. The journal itself consists of Scholarly Articles Opinion Pieces Field Notes and Photo Essays.
Consult Your Community - Columbia University (CYC)	Our mission is to providing probono management and strategy consulting services to local small businesses. Our mission is social and economic impact in aiding local businesses in the face of gentrification and increased corporate competitiveness.
Conversio Virium (CV)	BDSM and kink education group. We meet on Mondays at 9pm.
CoreFoods	This organization has not yet updated their description.
Couture	This organization has not yet updated their description.
Cricket	This organization has not yet updated their description.
CU Bellydance (CUBD)	For all who would like Middle Eastern Dance/Raqs Sharqi/Bellydance! The club has two components: classes which are held once a week for all levels and a performance troupe which holds auditions at the beginning of each academic year.
CU Chinese Students and Scholars Association (CUCSSA)	Founded in 1996 Columbia University Chinese Students and Scholars Association (CUCSSA) is one of the largest and most influential and prominent student groups in the U.S.
CU CPR	Organization set up to teach CPR to the Columbia community and surrounding area.
CU Dance Marathon (CUDM)	CUDM is an 18-hour dance party that benefits the Elizabeth Glaser Pediatric AIDS Foundation. Live bands DJs campus performing arts groups join registered dancers and moralers in a celebration of life and hope. 
November 21st - 22nd 10:30am - 4:30am!	
CU Generation (CU Gen)	CU Generation is Columbia's hip hop dance group inspired by Korean Pop (K-Pop) music.
CU Liberty in North Korea (LiNK)	LiNK is a non-partisan organization dedicated to combating the North Korean refugee crisis through both fundraising and raising awareness. Past events have included guest speakers (such as journalist Euna Lee) documentary screenings and art shows.
CU NAACP	CU STUDENT CHAPTER OF NAACP
CU Raaga	Raaga is CU's South Asian Fusion Music Organization. It is both a cultural and performance group. Raaga engages in performances recordings music jam sessions workshops and informational sessions.
CU Records	"The undergraduate ""record label"" and music events production group of Columbia University."
CU Sewa (Columbia Sikh Student Association)	CU Sewa formerly known as the Sikh Students Associationis a group that seeks to embody the importance of the Sikh tradition Sewa (Selfless Service) in the community as well as open discussion about other practices and beliefs of Sikhism.
CU Sketch Show (CUSS)	CUSS is a video sketch comedy group by and for the Columbia community. We aim to produce weekly student-written student-acted student-produced sketches and release those sketches to the Columbia student body.
CU Strive	STRIVE provides intensive one on one academic tutoring mentoring peer support and disease management education to low-income minority teenagers in New York City living with sickle cell disease.
CU Sur	Sur was founded in 2009 by three friends that wanted to elevate their singing from the shower to the stage. Sur is now Columbia's premier South Asian a cappella group.
CU Taiko	CU Taiko
CU VENTURE COMMUNITY	This organization has not yet updated their description.
Cuban and American Students Association (CASA)	This organization has not yet updated their description.
Culinary Society	Dedicated to the arts of Food Drink and the Good Life the society strives to educate and enhance the quality of student life through various activities.
Dance Dance Revolution Club (DDR)	This organization has not yet updated their description.
Delta Gamma	Sorority on campus.
Delta GDP	Delta GDP's mission is to explore new pathways in the field of international development by providing an on-campus platform for Columbia students to engage with each other and leading experts at the forefront of global development issues.
Delta Sigma Phi	InterFraternity Council organization
Delta Sigma Theta	Chartered on December 7 of 1923 the Rho Chapter is the seventeenth chapter of the illustrious Delta Sigma Theta Sorority Incorporated. We embrace the ideals of Sisterhood Scholarship and Service.
Dhoom	Columbia's Competitive Bollywood Fusion Dance Team
Divest Barnard	Divest Barnard
DKA Professional Cinema Society	DKA Professional Cinema Society focuses on training and preparing members to go into the film industry. It hosts programming for the broader Columbia community including workshops and speakers and selects new members at the start of each semester.
Double Discovery Student Organization (DDSO)	Double Discovery Center at Columbia University works with over 1000 low-income and first generation college Manhattan area youth and young adults to ensure academic skills building and focus high school graduation and college entrance and completion.
Double Exposure	Double Exposure is a biannual film journal and ongoing blog produced by undergraduates at Columbia University. We aim to provide a forum for the scholarly and accessible discussion of cinema as well as to create a community of Columbia film lovers.
Earth Coalition (EarthCo)	CU EarthCo is Columbia University's general body environmental activist group! Come join! Free food always. Mondays at 8pm in Lerner 573!
East Campus	East Campus residence hall community
Edmund Burke Society	This organization has not yet updated their description.
Edonation Project	The word 'Edonation' is a compound word of 'education' and 'donation'. Our mission is to provide free educational services to the Korean American community in the greater New York area.
Engineering Student Council (ESC)	Serving the interests of the undergraduate Engineering population ESC stands on 4 pillars - Student Life Policy Finance and Communications. It is a great way to get involved with the community get your voice heard and push for positive change.
Engineering Student Council 2016 (ESC 2016)	Voice your opinions get updates about Engineering Student Council and be the first to hear about upcoming events! Email us at escclassof2016@columbia.edu or at AllAboardSEAS@gmail.com. Follow us on Twitter @AllAboardSEAS!
Engineering Student Council 2019 (ESC 2019)	As the Class of 2019 student council we work as hard as we can to make the Class of 2019 comfortable and excited. We aim to serve the Class of 2019 as leaders representatives and peers. Our first priority will always be your questions and concerns.
Engineering Student Council 2020 (ESC 2020)	ESC 2020
English as a Second Language (ESL)	Volunteers teach basic to advanced level English classes for non-English speaking adults.
ESC Student Life Committee	Branch of the Engineering Student Council where campus wide events such as Engineering Week are planned.
Ethiopian Eritrean Student Association (EESA)	Columbia EESA fosters a community to explore Ethiopian and Eritrean cultures and traditions.
Ex-Yu@CU	Columbia's Association of Students from the former Yugoslavia
Falun Dafa Club at Columbia University (FDC)	Falun Dafa Club at Columbia University creates opportunities for the Columbia community to learn and practice the exercises and belief system of Falun Dafa.
Federalist Paper (Fed)	The Fed is Columbia's alternative newspaper. Interested in contributing? Send us a message via carrier pigeon or email us: chief@the-fed.net
Federation of American Scientists/Students for International Security (FAS/SIS)	No information on website.
FEED	This organization has not yet updated their description.
FeelGood CU	FeelGood is a movement committed to ending world hunger. Students sell grilled cheese sandwiches with 100% of deli proceeds invested in The Hunger Project and put toward a sustainable end to world hunger and engage customers in dialogue about hunger.
Ferris Reel Film Society (FRFS)	Ferris Reel Film Society is a student-run club that organizes screenings of major blockbusters in the Lerner Cinema for free. Last year FRFS screened Argo Skyfall Dark Knight Rises and many others. FRFS also hosted an advanced screening of The Purge.
Figure Skating	We are a Club Sport dedicated to figure skating. We welcome figure skaters of all ages and levels and all fans of the sport.
First Generation Low Income Generation (FLIP)	Officially founded in the fall of 2014 Columbia FLIPäó»s overall purpose is to provide appropriate communities and platforms for first generation and low income students to talk & act upon a range of issues that pertain to these intersectional identities.
FIRST Robotics	FIRST Robotics is an organization that works with area youth to prepare for the annual FIRST Robotics Competition. FIRST is a national non-profit organization dedicated to improving the technological literacy of high school students.
Fraternity & Sorority Life (FSL)	Fraternity and sorority residence hall communities
Free Culture	This organization has not yet updated their description.
French Cultural Society (FCS)	The French Cultural Society (FCS) is a student group that promotes French culture and language at Columbia University.
Fruit Paunch	"Founded in 2003 Fruit Paunch is Columbia University's oldest improv comedy troupe. Since its formation Fruit Paunch has developed its own style of long-form improv known as ""Unplugged"" which is nothing but chaos. Our website: www.fruitpaunchimprov.com"
Furnald	Furnald residence hall community
Game Design and Development	Game Design and Development is a field apart from Computer Science in that it involves engineers musicians storywriters and other specialists across different majors. The group analyzes games learns the skills necessary for the professional field
Games Club	We provide a weekly opportunity to relax take a break and play over 100 different board games with your fellow Columbians. For more info check out: www.columbia.edu/cu/games.
Gamma Phi Beta (Gamma Phi)	The Iota Chapter founded a chapter at Columbia's sister college Barnard in 1901 but was re-installed at Columbia University in 2015.  The Iota Chapter of Gamma Phi Beta is filled with women who value diversity leadership and sisterhood.
GendeRevolution (GendeRev/GR)	GendeRevolution is the trans and nonbinary student support and advocacy group of Columbia and Barnard.
General Studies Student Council (GSSC)	The purpose of the GSSC of Columbia University is to represent the undergraduate population of the School of General Studies by pursuing academic political social and administrative initiatives of interest to that student body.
General Studies Student Council (CSSC) (CSSC)	No information on website.
Generation Citizen	Generation Citizen pairs Columbia/Barnard students with public high school and elementary school classrooms throughout the city to teach curriculum of action civics and democracy.
Georgian Student Association (GeoSA)	Mission Statement
Our mission is to promote Georgian American and international student partnerships through academic cultural and social networks across Columbia schools	
GEQUA - [Gender Equality Agriculture + Int Service] (GEQUA)	What is GEQUA? An alternative break program focused on exploring international service through the lends of gender quality agriculture and education.
German Cultural Society (GCS)	The German Cultural Society aims to create a community of students and scholars who share an interest in the culture art language and history of the the GermanŒ_-speaking world particularly Germany Austria Switzerland and Liechtenstein.
Girls Who Code - Columbia University (GWC-CU)	Girls Who Code teaches high school girls computer science which aligns with our values of serving humanitarian causes. The purpose of this organization is to provide early exposure to computer science for high school girls in a comfortable environment.
Global China Connection (GCC)	Developing Relationships that will change the world. GCC connects students at Columbia with their peers in China to learn the latest on Chinese academic cultural and professional developments.
Global Poverty Project	This organization has not yet updated their description.
Global Youth Mentorship Initiative (GYMI)	A humanitarian group recognized through SGB.
GlobeMed at Columbia (GlobeMed)	GlobeMed at Columbia is a student led non-profit organization. Our chapter partners with Gulu Women's Economic Development and Globalization (GWED-G) to raise money and execute an HIV prevention and maternal health project in northern Uganda.
Goju Karate	Come join us and train in Goju Karate! We practice three times a week under the supervision of Grand Master Bonnie Baker and Sensei Tito Valentine. Our classes are focused on physical training kata (forms) self-defense and sparring.
Golden Key International Honour Society (Golden Key)	This organization has not yet updated their description.
Gosh Yarn It!	A special interest group recognized by the ABC.
Green Builders	This organization has not yet updated their description.
Grupo Quisqueyano (GQ)	Grupo Quisqueyano is a student organization at Columbia University that represents and pays tribute to the presence of Dominican students Dominican heritage and culture on both Columbia and Barnard campuses' and the broader New York community.
GS Alliance	GS Alliance is the LGBTQA club specifically for students with a nontraditional background at Columbia University.
GS Class 2013 (GS 2013)	We are here to provide opportunities for Senior GS students to come together for class-specific social and educational purposes.
 Encourage interaction between the senior class and current alumni.	
Habitat for Humanity	Habitat for Humanity works to construct and renovate homes for low income families and to educate the campus and surrounding community about the need for affordable housing.
Haitian Students Association (H.S.A)	The purpose of the Haitian Students Association (H.S.A.) is to foster awareness and appreciation of Haitian culture and heritage; provide information about Haitian culture and heritage; for all students.
Health Education & Awareness League (HEAL)	The Health Education and Awareness Leagueäó»s goal is to assist Frederick Douglass Academy in providing its students with a more extensive health education program.
Health Leads	Health Leads is a national non-profit dedicated to addressing social determinants of health. Volunteers act as patient advocates to connect patients with resources like food stamps childcare job training and adult education.
HeForShe at Columbia University (HFS Columbia)	Women have historically led the struggle for gender equality. Although important advances have been made in the rights and well-being of women and girls gender equality is yet to be fully achieved anywhere in the world.
Heights to Heights	Heights-to-Heights (H2H) matches mentors from Columbia and Barnard College with middle school students who have recently immigrated to the US.  H2H provides a supportive environment in which the students can improve their English through weekly programs.
Hellas	Columbia University's Undergraduate Hellenic Society strives to promote Hellenic culture and heritage in the Columbia University community at large.
Hindu Students Organization (HSO)	From weekly services to some of Columbia's largest and most colorful student events such as Diwali and Holi HSO is a close-knit community for students interested in exploring Hinduism celebrating cultural festivals and engaging in interfaith dialogue.
Hispanic Scholarship Fund- Scholar Chapter at Columbia University (HSF Scholar Chapter at Columbia)	The HSF Scholar Chapter exists to promote academic success and professional preparation among college students while encouraging them to serve as role models and leaders in their communities.
Ho-heup	Ho-Heup is a traditional Korean drum troupe at Columbia University. Our mission is to promote awareness and appreciation of Korean culture through teaching learning and performing poongmul (Korean folk drumming)
Hong Kong Students and Scholars Society (HKSSS)	HKSSS aims to promote different aspects of Hong Kong culture through a wide range of social events to educate students on the various career and academic opportunities available in Hong Kong and to unite Hong Kong students and scholars at Columbia.
Ice Hockey - Womens (Ice Hockey (Womens))	We play ice hockey! Our club is open to players and skaters of all levels. We practice once a week in the winter and play roughly one to two games every other weekend.
ICH Committees	ICH Committees organize programming and activities around a variety of issues relevant to the current residents of the Intercultural House. Committees range from issues of green living to feminist politics and community education.
ICH General Community Programming	[ICH General Community Programming/Building Page]
The Intercultural Resource Center is devoted to promoting a just society and exploring issues of interculturalism and diversity within and beyond the Columbia University community.	
ICH Retreat	*Please write organization summary*
Information Professionals Network (IPN)	This organization has not yet updated their description.
Institute of Electrical and Electronics Engineers (IEEE)	We strive to bring the best employers to campus to recruit from our talent and to provide you educated looks at industry technology. We also support and lead many social and networking events to remind students that engineering is fun.
Interfaith Collective	Columbia/Barnard Interfaith Collective is a student group that seeks to promote interfaith understanding on campus both through open dialogue amongst students of different religious and non-religious backgrounds and through community service.
InterFraternity Council (IFC)	Council for fraternities at Columbia University
InterGreek Council (IGC)	Inter-Greek Council
International Student Programs and Services (ISPS)	The Office of International Student Programs and Services is part of Community Development in Columbia Student Affairs.
International Students Science Innovation (ISSI)	This organization has not yet updated their description.
InterPublications Alliance (IPA)	The Columbia InterPublications Association (IPA) is an umbrella organization facilitating collective action and support for publications at Columbia University.
Interschool Governing Board (IGB)	IGB serves the needs of CU student organizations whose concerns are interdisciplinary in nature and do not fall under the jurisdiction of current individual school governing boards. IGB provides qualified clubs with official recognition and funding.
InterVarsity Christian Fellowship (IVCF)	The purpose of InterVarsity Christian Fellowship is to establish and advance at colleges and universities witnessing communities of students and faculties who follow Jesus as Savior and Lord: growing in love for God God's word and God's people.
Inwood Academic Tutoring (IAT)	We are a volunteer one-on-one tutoring organization through the Columbia University Student Governing Board that services the Inwood community. Our group meets weekly on Fridays at the Columbia gates to head up to Inwood for 2 hour tutoring sessions.
iQ	iQ is Columbia's organization dedicated to promoting the welfare of LGBTQAI individuals in the S.T.E.M (Science Technology Engineering and Mathematics) fields.  We do this through campus outreach speaker series and social events.
J Street U Columbia/Barnard (J Street CU)	J Street U is: Pro-Israel Pro-Peace Pro-Democracy Pro two States Pro-Justice Pro Palestinian.
Jester of Columbia (Jester)	The Jester is Columbia's only humor magazine. Founded in 1901 it is one of the oldest print publications on campus.
Job Road	Volunteers help adult education students develop career goals and prepare to make the transition to the workplace through job readiness workshops counseling activities and resume assistance.
Jobs & Education Empowerment Project (J.E.E.P.)	C.I.'s Jobs and Education Empowerment Project (J.E.E.P.) provides classes which helps adult residents achieve independence through finding jobs and furthering their education.
John Jay	John Jay residence hall community
Joint Finance Council (JFC)	The VP finances from each of the four councils jointly administer certain funds that any eligible group/student from the four schools may apply too.
Journal of Anthropology	This organization has not yet updated their description.
Jubilation!	Columbia's only Christian a cappella group: We exist to glorify God declaring through song that He is risen over this campus and this world. Every semester we hold one study break and concert and perform at various other events both on and off campus.
Kappa Alpha Theta (Theta)	National Panhellenic Fraternity
Kappa Delta Rho (KDR)	Through its Latin motto äóìHonor super Omniaäó or honor above all else KDR strives to promote good fellowship amongst its members who represent a diverse collection of Columbiaäó»s athletics clubs and academic backgrounds.
Kappa Phi Lambda (KPL)	Kappa Phi Lambda is an Asian-interest (not Asian-exclusive) sorority emphasizing service cultural awareness and commitment to giving back to its members' communities.
Kayak Club (Kayak)	This organization has not yet updated their description.
King's Crown Leadership Excellence Awards (KCLEA)	The King's Crown Leadership Excellence Awards Ceremony held annually in April serves to recognize significant contributions of student organizations and CC/SEAS students to the Columbia community.
King's Crown Shakespeare Troupe (KCST)	The King's Crown Shakespeare Troupe is more than just a student theatre group.  We're a family! We produce two shows each fall (at least one Shakespeare) and an outdoor Shakespeare show in the spring in which everyone is cast! Check us out!
Kingsmen	We are an all male a cappella group.
Korea Campus Crusade for Christ (KCCC)	Building spiritual movements on campus so that everyone will know someone who truly follows Jesus!
Korean Christian Students Association (KCSA)	We are a Korean Christian Students Association for Korean Students and Alumni in Columbia University.
Korean Graduate Students Association (KGSA)	Columbia KGSA has the longest history of serving Korean students amongst any Ivy League schools. KGSA aims to promote a better understanding of Korea and the Korean culture within the Columbia Community and New York City.
Korean International Society for Academics and Career (KISAC)	Korean International Society for Academics and Career (KISAC) is a pre-professional club which focuses on professional development for Korean International Students.
Korean Students Association (KSA)	KSA is a cultural organization that strives to spread Korean culture throughout Columbia's campus.
Lacrosse - Mens (Lacrosse (Mens))	We are the men's club lacrosse team at Columbia. Defending conference champions looking for all interested athletes.
Lambda Phi Epsilon (Lambdas)	No information on website.
Latinas Promoviendo Comunidad/ Lambda Pi Chi Sorority Inc. (Pi Chi)	Latinas Promoviendo Comunidad/Lambda Pi Chi Sorority Inc. is a multicultural sorority dedicated to empowering women community service leadership academic achievement and professional success. 
Want to learn more? Email beta@lambdapichi.org	
Latino Constituency Group	The Latino Constituency Group is coordinated by Columbia Universityäó»s Office of Multicultural Affairs (OMA) in an effort to support students groups within the Latino Community.
Latino Heritage Month (LHM)	Latino(a) Heritage Month (LHM) is a collaboration between Columbia University and Barnard College. LHM strives to increase awareness about Latino and Latin American histories identities cultures accomplishments and contemporary issues.
Latter-day Saint Student Association (LDSSA)	Columbia University's Latter-day Saint Student Association (LDSSA) is an on-campus group which supports the decisions of students to base their lives on their faith.
Lean In	Lean In at Columbia University brings the mission of the international organization LeanIn.Org to campus. LeanIn.Org is the nonprofit organization founded by Facebook COO Sheryl Sandberg to empower all women to achieve their ambitions.
Let's Get Ready! (LGR)	Lets Get Ready provides free SAT prep to high school Juniors and Seniors.  Coaches also mentor students in the college application process to increases access and ensure students' success in college.
LGBT Constituency Group	The LGBTQ Constituency Group is coordinated by Columbia Universityäó»s Office of Multicultural Affairs (OMA) in an effort to support students groups within the LGBT Community.
Liga Filipina (Liga)	Liga Filipina unifies Columbia students interested in Filipino culture through social interaction cultural programs and activities educational exchange and political awareness. We strive to promote this awareness of culture in the Columbia community.
Live at Lerner	Fostering Columbia community through sounds study breaks and a student space.
Living Learning Center (LLC)	Living Learning Center residential community
LUCHA	"A Latinx led social justice organization working in solidarity with communities both on and off Columbia's campus. We focus on education, art, and community building around anti-border, anti-capitalist, anti-gentrification, pro-immigrant, pro-queer, pro-women politics. "
Malama Hawai'i	A group of Columbia University and Barnard College students interested in spreading the culture heritage and traditions of Pacific Islanders with the university community and the greater New York.
Maranatha Worship and Prayer Meeting (Maranatha)	We are a non-denominational interfellowship Christian worship & prayer group at Columbia University whose mission is to open the floodgates of heaven over Columbia and to provide a house of rest for all who are broken and thirsty.
McBain and 548 W. 113th	McBain and 548 W. 113th  residence hall communities
Men of Color Alliance (MCA)	The Men of Color Alliance seeks to provide a safe & supportive space for self-identified Men of Color (Black Asian/PIA Arab/ME Latino Native). In an effort to strengthen bonds we encourage service foster intercultural unity & promote leadership.
Men's Ice Hockey Club (CU Hockey)	Columbia Men's Ice Hockey is a Division III program that competes in the Metropolitan Collegiate Hockey Conference.
Mentoring Youth in New York City (My NYC)	MyNYC is a high school mentoring program that works with potential first generation college students by carefully matching them with mentors and providing resources for the college admissions process that are otherwise unavailable.
Metrotones	Columbia University's all female a cappella group
Mexican Society of Columbia University (MexCU)	The purpose of MexCU is to support and foster students professors and researchers who have an interest in Mexico.
Mixed Heritage Society (MHS)	The purpose of this organization is to provide a space for raise awareness of and allow for the recognition of students with multiracial and multicultural backgrounds.
Moy Yee Kung Fu	The Moy Yee Kung Fu club encourages physical fitness satisfaction and enjoyment through training in Wing Chun and Tai Chi. Even as we strive to do our personal best we always have fun!
